Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",118.100000,-62.268750,90.000000,top
"C2","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",133.000000,-95.462500,-90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",126.237500,-84.131250,0.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.737500,-82.631250,180.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.237500,-79.631250,-90.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.000000,-79.231250,-90.000000,top
"C7","4.7n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.702064,-59.891250,180.000000,top
"C8","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",121.562500,-59.731250,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",136.710000,-61.126250,180.000000,top
"J2","Conn_01x04","PinHeader_1x04_P1.27mm_Vertical",137.500000,-94.730000,0.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.000000,-92.000000,180.000000,top
"R2","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.462500,-72.631250,0.000000,top
"R3","27","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.462500,-70.131250,0.000000,top
"R4","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.100000,-68.731250,-90.000000,top
"R5","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.600000,-67.231250,0.000000,top
"R6","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.432064,-62.231250,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",132.800000,-87.531250,0.000000,top
"U2","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",125.000000,-73.731250,90.000000,top
"U3","AP2112K-3.3","SOT-23-5",121.462500,-62.681250,180.000000,top
"U4","USBLC6-2SC6","SOT-23-6",135.962500,-71.231250,0.000000,top
"Y1","ECS-2520MV-xxx-xx","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",129.575000,-94.725000,90.000000,top
